p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
29	7.24778163409892e-34	0.580995527226988	0.906	0.483	3.44219642918774e-31	0	PCED1B-AS1
30	8.3361338043419e-34	-1.71758147091116	0.202	0.616	3.82711902957337e-31	0	HLA-DPB1
31	1.49950005674379e-33	-1.37859583637959	0.036	0.481	6.66213363920396e-31	0	CEBPD
32	1.83074374838833e-33	-0.975657877922823	0.049	0.507	7.87963551454763e-31	0	HLA-DMB
33	1.98193723044836e-33	-0.82649530619537	0.009	0.458	8.271885295444e-31	0	LY86
34	6.10617619337953e-33	0.493203142136195	0.96	0.983	2.47354013857107e-30	0	RPS29
35	8.22346837004601e-33	-0.674669478677413	0.919	0.94	3.23605228173268e-30	0	CYBA
36	1.87334193833816e-32	0.505995457311832	0.417	0.095	7.00837360058938e-30	0	GATA3
37	1.88274031236337e-32	0.61690684680273	0.601	0.197	7.00837360058938e-30	0	RORA
38	2.49997086262238e-32	0.424475030338639	0.969	0.983	9.06107860286792e-30	0	RPL36
39	4.81183150745534e-32	-0.764405777651187	0.888	0.963	1.69931680390211e-29	0	OAZ1
40	5.00079618994991e-32	-0.978468576761982	0.076	0.537	1.7218991481045e-29	0	ZEB2
41	1.1728719815683e-31	-0.351509947674096	0.996	0.999	3.93999165905857e-29	0	MT-RNR1
42	2.16449847341597e-31	-1.78959576797435	0.049	0.472	7.09800892246624e-29	0	FCER1G
43	1.8181555572693e-30	-1.07731426950952	0.036	0.466	5.82359453262095e-28	0	CYBB
44	2.51844321231503e-30	-1.16064326258332	0.018	0.436	7.8832996280034e-28	0	MPEG1
45	5.49723659408811e-30	0.366175401140975	0.969	0.983	1.68252088023057e-27	0	RPL14
46	5.95359597839594e-30	-0.94885703931572	0.022	0.442	1.78258429153146e-27	0	SPI1
47	1.03005463567074e-29	0.532787672428298	0.619	0.251	2.9843355327963e-27	0	RCAN3
48	1.04006465965456e-29	0.516684784425163	0.83	0.359	2.9843355327963e-27	0	LCK
49	1.20052955845911e-29	0.610668002973354	0.668	0.272	3.37446808339946e-27	0	CD27
50	1.76055657867737e-29	0.458200696090869	0.969	0.987	4.84962915162469e-27	0	RPS18
51	2.79421601944374e-29	0.525176736004069	0.942	0.667	7.54602690898012e-27	0	EVL
52	3.32450481432473e-29	0.496524564829343	0.516	0.163	8.80546246301816e-27	0	AC058791.1
53	3.51339433642469e-29	-1.10820761018924	0.148	0.539	9.13018494256174e-27	0	APLP2
54	4.60621846863309e-29	-0.778320912718472	0.013	0.418	1.17484161052747e-26	0	IRF8
55	4.86072452053456e-29	-0.602183691790446	0.852	0.93	1.21721379675132e-26	0	ARPC3
56	7.68075817576479e-29	-1.7594093702133	0.009	0.408	1.87969249787006e-26	0	MNDA
57	7.77916738391007e-29	-0.868147643000934	0.117	0.527	1.87969249787006e-26	0	HLA-DMA
58	7.96644828330615e-29	-0.581881930742062	0.937	0.97	1.89175676217199e-26	0	H3-3A
59	8.64362839101905e-29	0.473742720622818	0.422	0.11	2.01777447168653e-26	0	TNFRSF25
60	1.69025494657627e-28	-0.624316936347344	0.022	0.428	3.87998022986582e-26	0	LAT2
61	2.36655329642008e-28	-2.01500497882398	0.435	0.685	5.3433669756711e-26	0	CTSS
62	4.40168790827555e-28	0.421098489289627	0.978	0.987	9.77813670333534e-26	0	RPS3
63	4.89505171089427e-28	0.4820415304325	0.565	0.194	1.0701515430817e-25	0	CD6
64	5.30617481496911e-28	-0.8875947403604	0.215	0.586	1.14190540197765e-25	0	EFHD2
65	6.1542450684319e-28	-3.90490644658091	0.031	0.42	1.30403718965404e-25	0	S100A8
66	1.84333322396829e-27	-1.98853184579721	0.036	0.424	3.84670128692655e-25	0	CST3
67	2.58989058503234e-27	-1.30523699862719	0.722	0.861	5.32396463099259e-25	0	DUSP1
68	4.18980734683012e-27	-0.712391033029256	0.036	0.428	8.36321979534656e-25	0	PECAM1
69	4.83614851294206e-27	0.335085141290672	0.96	0.989	9.51546763839299e-25	0	RPS15A
70	5.07651738680814e-27	0.507951683796053	0.65	0.261	9.84772872795894e-25	0	SPOCK2
71	5.84219455147618e-27	-1.21132559215987	0.076	0.467	1.1175631327428e-24	0	HLA-DQB1
72	6.16035480468527e-27	0.770769508755815	0.789	0.423	1.14766969393824e-24	0	TRBC2
73	6.1662351957765e-27	-1.59409175283241	0.121	0.491	1.14766969393824e-24	0	AIF1
74	6.28462091218462e-27	0.293737712142558	0.969	0.996	1.15410778431358e-24	0	TPT1
75	1.2834795508683e-26	0.452451917267305	0.502	0.163	2.32596892817225e-24	0	OPTN
76	1.300583655433e-26	-1.27930777506908	0.031	0.412	2.32635567354268e-24	0	FGL2
77	2.0506434695488e-26	-0.812540399183234	0.161	0.537	3.62096314180714e-24	0	CTSZ
78	2.1042667631161e-26	-0.717800104929893	0.022	0.402	3.66861596562e-24	0	HLA-DRB5
79	3.62430795005178e-26	0.390838525793884	0.251	0.038	6.23969917450789e-24	0	NPDC1
80	4.11916566414671e-26	0.363630711366915	0.973	0.986	7.00410724596206e-24	0	RPS14
81	7.13465834361641e-26	-1.8982614164578	0.031	0.399	1.19836157764182e-23	0	FCN1
82	8.54344575466145e-26	0.411042952292259	0.422	0.122	1.41769732986689e-23	0	TESPA1
83	8.91690546603872e-26	-0.563407060862305	0.013	0.383	1.46205403552085e-23	0	SYK
84	9.49789486963035e-26	0.420354595850002	0.368	0.091	1.53899418869905e-23	0	ATP8B2
85	1.46173514403109e-25	0.359578109226435	0.978	0.99	2.34098583008608e-23	0	RPL13
86	1.81438683601547e-25	-1.31006702135415	0.439	0.692	2.87236205660243e-23	0	GPX1
87	2.02981709911912e-25	-1.19599500806385	0.018	0.383	3.17689442115541e-23	0	SERPINA1
88	2.06063544512087e-25	0.516204331308665	0.596	0.265	3.18889123434267e-23	0	PBXIP1
89	5.30719491736592e-25	0.301741824111077	0.987	0.995	8.12177728854231e-23	0	EEF1A1
90	5.50537286585204e-25	0.489753334662215	0.946	0.806	8.31758589734687e-23	0	TLE5
91	5.55592755794607e-25	-1.22902678619469	0.049	0.412	8.31758589734687e-23	0	KLF4
92	5.66867844588321e-25	0.385742318930308	0.969	0.989	8.3308909053176e-23	0	RPS12
93	5.68578918971796e-25	0.445728151963408	0.502	0.169	8.3308909053176e-23	0	ITM2A
94	8.4483078806104e-25	-1.06337640990883	0.018	0.375	1.22482678357523e-22	0	CSTA
95	9.10966011464729e-25	0.491005336543772	0.906	0.632	1.3069515495733e-22	0	GIMAP7
96	1.20576262525236e-24	-1.87624733083176	0.022	0.377	1.70426416478084e-22	0	VCAN
97	1.21264712225748e-24	0.364296118291365	0.964	0.963	1.70426416478084e-22	0	RPL38
98	1.59143239745499e-24	0.378476983094883	0.399	0.111	2.21402004142905e-22	0	TRAT1
99	2.34511297905222e-24	-1.10354956723326	0.126	0.473	3.22992410604863e-22	0	GRN
100	2.57578333407673e-24	0.548960132384286	0.677	0.374	3.51250137230087e-22	0	ARHGAP15
101	3.21544325425128e-24	0.291955592304744	0.184	0.018	4.29964077095174e-22	0	TNFRSF4
102	3.31400773359531e-24	0.323645166834577	0.973	0.986	4.3888296648854e-22	0	RPS2
103	3.50191491495986e-24	-1.01518644534182	0.018	0.375	4.59351182130878e-22	0	CD36
104	4.96790530907646e-24	-1.16740159298563	0.027	0.38	6.45499620961415e-22	0	HLA-DQA1
105	5.47185888687401e-24	-1.25765154948262	0.013	0.362	7.04335630363699e-22	0	MS4A6A
106	5.87317303843163e-24	-0.915441971293838	0.013	0.363	7.48992706095545e-22	0	CSF3R
107	6.49975447529342e-24	0.534396337126817	0.758	0.39	8.21294664112076e-22	0	ETS1
108	8.52344096672773e-24	-0.668940884106815	0.018	0.367	1.06721229486128e-21	0	LMO2
109	8.75945312445119e-24	-0.746793012827186	0.081	0.436	1.08688241336096e-21	0	GCA
110	9.38153510604755e-24	-0.830066928277734	0.516	0.718	1.15367752692494e-21	0	RAC1
111	1.15918771659556e-23	-0.970487299378467	0.045	0.392	1.41287543545758e-21	0	NCF2
112	1.24712997216316e-23	-0.684884819191552	0.031	0.384	1.50672992163186e-21	0	HVCN1
113	1.34752315400299e-23	0.309472631293073	0.946	0.979	1.61386403478985e-21	0	RPS4X
114	1.52098969735876e-23	-0.797015235528166	0.013	0.36	1.80591302601054e-21	0	SLC7A7
115	1.59981071753259e-23	-0.984107448628325	0.013	0.353	1.88326436004927e-21	0	AC020656.1
116	1.95154768941125e-23	0.377439266103393	0.951	0.978	2.2778530784967e-21	0	RPS25
117	2.14693698704038e-23	0.35001300539444	0.341	0.085	2.4660584486234e-21	0	CD28
118	2.14860243835626e-23	0.350455827828029	0.964	0.973	2.4660584486234e-21	0	RPL13A
119	2.55650338502872e-23	0.414447334630117	0.426	0.131	2.90997695223146e-21	0	LEF1
120	2.59541609152513e-23	0.475504755502233	0.556	0.212	2.93005457611275e-21	0	SYNE2
121	2.79322837172409e-23	-0.609221169962697	0.157	0.534	3.12773450111837e-21	0	LYST
122	2.96647075915489e-23	-0.739265450155697	0.013	0.358	3.29493562627744e-21	0	TGFBI
123	3.00873689364396e-23	-0.814037202149595	0.256	0.564	3.31514665889266e-21	0	LTA4H
124	3.19579820764758e-23	-0.880698708443815	0.099	0.439	3.49331180269287e-21	0	RNF130
125	3.45973129251517e-23	-0.683105107037023	0.027	0.376	3.75203772376468e-21	0	HCK
126	3.58936230605252e-23	-0.749075230785941	0.031	0.378	3.86220992509854e-21	0	HLA-DQA2
127	3.85057574874519e-23	-0.48731571378312	0.009	0.347	4.11116122383469e-21	0	BTK
128	4.24491022394247e-23	-0.599512941498897	0.099	0.465	4.4973191164892e-21	0	STX7
129	4.27796731013768e-23	-0.634583340873006	0.013	0.35	4.49774379866613e-21	0	TIMP2
130	4.32631379497226e-23	-0.584375811499959	0.242	0.588	4.51411514379946e-21	0	CNPY3
131	4.47321608192515e-23	-0.711656295453232	0.013	0.35	4.63230113506429e-21	0	ALDH2
132	5.04934495764769e-23	-0.655339970874372	0.009	0.348	5.1514539334579e-21	0	RAB32
133	5.23657288037949e-23	0.411087000632121	0.565	0.209	5.3031851677549e-21	0	PRKCQ-AS1
134	5.63036969086956e-23	-0.857782183252055	0.274	0.571	5.66037093082821e-21	0	NPC2
135	5.74186109247431e-23	0.41786617047726	0.386	0.112	5.73062701642381e-21	0	CD5
136	6.17742134539326e-23	-0.781215684438518	0.094	0.451	6.12098015756125e-21	0	YBX3
137	7.78126164420943e-23	-1.16468305661349	0.018	0.351	7.65509404469261e-21	0	CD14
138	8.15715562226966e-23	-2.1203146977229	0.018	0.35	7.96797903443404e-21	0	S100A12
139	1.00153493093951e-22	0.322486565736356	0.973	0.987	9.71418352382382e-21	0	RPS27A
140	1.21187548271157e-22	0.411752532175531	0.48	0.173	1.16721405757947e-20	0	FAM102A
141	1.28194039031762e-22	-1.05657382727325	0.027	0.366	1.22612256915588e-20	0	CPVL
142	1.38436179480855e-22	-1.45116749594285	0.395	0.628	1.31495275861366e-20	0	PSAP
143	2.06176320382097e-22	-0.815852231666941	0.269	0.574	1.94497702782371e-20	0	ASAH1
144	2.32688921954216e-22	0.549023207490446	0.52	0.247	2.18015273610572e-20	0	TRADD
145	2.44422360891873e-22	0.452087457987763	0.664	0.324	2.27461430848903e-20	0	PIK3IP1
146	2.49447431689712e-22	-0.874791103770705	0.439	0.67	2.30579830648483e-20	0	GSTP1
147	2.64516773070802e-22	0.410554288084946	0.507	0.192	2.4287930103361e-20	0	DGKA
148	4.22133640405185e-22	-0.762539595573333	0.027	0.363	3.85036200615934e-20	0	TNFAIP2
149	4.51986939696905e-22	0.357297343088797	0.937	0.891	4.09553692134571e-20	0	CALM1
150	5.1121990886191e-22	-3.28295818287676	0.148	0.459	4.60198157173535e-20	0	LYZ
151	5.2236619308757e-22	0.443065920159839	0.996	0.998	4.67178543986695e-20	0	MT-ND5
152	6.00315138083774e-22	0.390147979915598	0.457	0.153	5.33428412698569e-20	0	TC2N
153	6.32358835093679e-22	-0.740677445651543	0.036	0.371	5.58299886906746e-20	0	CLEC7A
154	7.04217058078689e-22	0.559199976324419	0.762	0.493	6.17782263752725e-20	0	NOSIP
155	8.17334962143282e-22	-0.740692039471099	0.112	0.443	7.12478128708825e-20	0	FCGRT
156	1.08245530757266e-21	-0.501567548783394	0.04	0.38	9.3765138057851e-20	0	ALOX5
157	1.25330891105178e-21	-0.601051717016364	0.238	0.574	1.07886397699476e-19	0	SNX2
158	1.36141084876187e-21	-0.924041051233142	0.413	0.635	1.16464047329176e-19	0	TKT
159	1.68239558827834e-21	0.382527452810789	0.43	0.142	1.42157266486857e-19	0	TMEM204
160	2.36529767443391e-21	-0.642821499698431	0.35	0.66	1.98641737012062e-19	0	C1orf162
161	2.7687315164968e-21	0.374430618526939	0.408	0.128	2.31113570767942e-19	0	ITK
162	3.435953700532e-21	-0.753423618729073	0.013	0.333	2.85080664562815e-19	0	MARCKS
163	3.55322408976943e-21	-1.11820871731258	0.112	0.44	2.93045241846673e-19	0	RGS2
164	4.0219368571689e-21	0.306312036353446	0.973	0.991	3.29727001986829e-19	0	RPL10
165	4.05196588218959e-21	0.278828854694919	0.969	0.994	3.30223231333711e-19	0	RPL41
166	4.23029236431201e-21	-3.83477112810681	0.148	0.447	3.42728333727467e-19	0	S100A9
167	4.31760546209421e-21	-0.888064712282197	0.018	0.331	3.47756608359202e-19	0	PLBD1
168	4.67085665717364e-21	0.418154185842155	0.78	0.453	3.74021562437515e-19	0	AAK1
169	4.69927938163163e-21	-0.536219570915652	0.004	0.314	3.74122398400072e-19	0	GAPT
170	5.03611472954168e-21	-0.914012690363306	0.587	0.76	3.98632324998421e-19	0	ZFP36
171	5.06502990450328e-21	-0.741460139791986	0.031	0.349	3.98632324998421e-19	0	KCTD12
172	5.11958125915421e-21	-0.558850191254443	0.013	0.327	4.00636322058699e-19	0	LRRC25
173	5.46410408005832e-21	-0.585104754757404	0.018	0.333	4.25181386975385e-19	0	CD302
174	7.2358456330746e-21	0.35712226218414	0.964	0.981	5.59883718563688e-19	0	RPL3
175	7.41525122420635e-21	-0.516986940452445	0.009	0.321	5.70560084418961e-19	0	FCGR2A
176	7.75882446090283e-21	0.286195416864481	0.955	0.989	5.93679385000082e-19	0	RPLP2
177	9.00845103359705e-21	-1.26028987536037	0.188	0.485	6.85488376164266e-19	0	LST1
178	9.59517391082864e-21	0.46561968000589	0.525	0.251	7.26122693812323e-19	0	TTC39C
179	9.73072658469443e-21	-0.510647785384765	0.009	0.318	7.32356815579215e-19	0	RAB31
180	1.02159632397933e-20	-0.571627111926014	0.471	0.727	7.64698161422133e-19	0	PRKCB
181	1.47868669651215e-20	0.485457343308124	0.834	0.673	1.10086226330064e-18	0	GSTK1
182	1.55463033325285e-20	-0.439534627608908	0.013	0.324	1.15117868709094e-18	0	HHEX
183	1.71533569511306e-20	0.361959812921605	0.973	0.982	1.26338601758247e-18	0	RPS19
184	1.75275072136063e-20	-0.582225133658014	0.022	0.335	1.28407636623936e-18	0	ITGAM
185	1.89230633147886e-20	0.30863648954744	0.973	0.986	1.37898069330468e-18	0	RPL37
186	2.09473444504254e-20	-0.586131244431376	0.018	0.328	1.51846197429321e-18	0	CLEC12A
187	2.14159709658891e-20	-0.759448057255278	0.224	0.524	1.54430454509524e-18	0	STXBP2
188	2.18570333897609e-20	0.316683985659748	0.955	0.978	1.56790062956863e-18	0	RPS16
189	2.3129433586016e-20	-0.534808476366203	0.462	0.721	1.65057869834299e-18	0	SNX3
190	2.37634953007818e-20	-0.52674422613663	0.099	0.429	1.68708567411169e-18	0	SNX10
191	2.85976589560342e-20	-0.530664949037756	0.022	0.333	2.01987465026389e-18	0	AOAH
192	3.26907376796993e-20	0.386014159360951	0.964	0.993	2.29719147991071e-18	0	RPS27
193	3.65935827799416e-20	0.254057848954434	0.969	0.988	2.55839297273165e-18	0	RPL34
194	3.70548428711282e-20	-0.592089002169602	0.072	0.396	2.57755732759621e-18	0	NCF1C
195	4.47932793088377e-20	-0.572034154180978	0.121	0.448	3.10019013025438e-18	0	SCPEP1
196	4.96243187041317e-20	-0.646032098342911	0.076	0.384	3.41737870756003e-18	0	BLVRB
197	5.70047278204901e-20	0.324940882395094	0.955	0.98	3.88676295183966e-18	0	RPS6
198	5.94329985766911e-20	0.365915232576093	0.435	0.161	4.03236792806289e-18	0	SUSD3
199	7.0156883508461e-20	0.406118210570104	0.354	0.111	4.73662135569624e-18	0	CD40LG
200	7.60891268899453e-20	0.31872123654702	0.39	0.124	5.11207582758642e-18	0	CAMK4
201	8.14633036278781e-20	-0.548243021099965	0.013	0.313	5.44657320809109e-18	0	CX3CR1
202	1.00077816981701e-19	0.261425949669678	0.982	0.987	6.65880083714474e-18	0	RPL11
203	1.02975978377329e-19	-0.743092078028686	0.013	0.312	6.81869302976418e-18	0	MS4A7
204	1.07912537939425e-19	-0.915667757341689	0.152	0.475	7.11138461741483e-18	0	RHOB
205	1.09927188313922e-19	-0.52808079956962	0.022	0.323	7.20965316498877e-18	0	CXXC5
206	1.18731966673094e-19	-0.941976485964773	0.283	0.544	7.75021505681767e-18	0	AP1S2
207	1.21201609188966e-19	0.345776745604203	0.955	0.98	7.87410265735675e-18	0	RPS21
208	1.4527423370873e-19	0.287973085107304	0.291	0.073	9.34982252743149e-18	0	SIRPG
209	1.57998718418579e-19	-0.58993990061669	0.018	0.318	1.01214713896702e-17	0	FPR1
210	1.61697122562814e-19	-0.541131893119634	0.009	0.302	1.03104373567483e-17	0	CD93
211	1.70350030823448e-19	-0.485144828420368	0.013	0.308	1.08121243065961e-17	0	CD33
212	1.82681807769537e-19	-0.717687772425463	0.067	0.37	1.15416354972928e-17	0	TNFSF13B
213	1.84338684809786e-19	-0.535867687108882	0.498	0.727	1.15931356433113e-17	0	PTPN6
214	1.95379995281743e-19	0.386294145273388	0.964	0.961	1.22316757955248e-17	0	RPSA
215	1.991444718168e-19	-0.531067973853537	0.085	0.407	1.2410935793361e-17	0	IFNGR2
216	2.31734123237732e-19	-0.833220879949175	0.081	0.381	1.43769102673571e-17	0	CFD
217	2.4990064460175e-19	0.399907991919976	0.327	0.098	1.54344465385646e-17	0	LINC00513
218	2.54503489588725e-19	0.316427233862561	0.96	0.983	1.56485560808282e-17	0	RPL23A
219	2.74392202848531e-19	-0.697171296655189	0.018	0.308	1.67964613770347e-17	0	C5AR1
220	2.8984728040669e-19	-0.479883782748031	0.099	0.431	1.76640114736342e-17	0	SKAP2
221	2.94513378394637e-19	-0.614095832472039	0.036	0.337	1.78693073155477e-17	0	IGSF6
222	3.87527704886208e-19	-0.771606567960356	0.013	0.307	2.34097328043761e-17	0	LGALS2
223	3.95459238860678e-19	-0.637182332935739	0.04	0.342	2.37845419075464e-17	0	SLC11A1
224	4.49905364764669e-19	0.267725717761254	0.964	0.987	2.69049840126105e-17	0	RPS28
225	4.51248915044873e-19	0.300057364335309	0.964	0.986	2.69049840126105e-17	0	RPL32
226	4.63748131126286e-19	-0.961171196064489	0.049	0.35	2.75310474569066e-17	0	DUSP6
227	4.91559540743204e-19	0.458684667648632	0.462	0.191	2.90568650414427e-17	0	CDC14A
228	6.7757340185385e-19	-0.399857360786848	0.018	0.309	3.98812754860388e-17	0	FGD2
229	6.87282810244436e-19	0.29604672090437	0.942	0.966	4.02806218957303e-17	0	RPL4
230	7.71301090430607e-19	-0.677078627578062	0.009	0.291	4.50132623665286e-17	0	BCL11A
231	7.76715517574657e-19	-0.864096780993948	0.354	0.581	4.51379865972816e-17	0	BRI3
232	9.06741032452158e-19	0.455432219742658	0.821	0.582	5.24728749578301e-17	0	ACAP1
233	1.1260680059424e-18	-0.503180062291368	0.004	0.283	6.48926135809398e-17	0	BASP1
234	1.17375125620987e-18	0.285904109780503	0.96	0.964	6.73586502157438e-17	0	RPL35
235	1.23810877798729e-18	0.30140224041696	0.964	0.986	7.07571460548503e-17	0	RPL19
236	1.68501841805899e-18	-0.47599077021777	0.036	0.332	9.58998292228367e-17	0	RNASE6
237	1.94176496752638e-18	-1.21678034806962	0.614	0.693	1.10057320566835e-16	0	SRGN
238	2.00231225736366e-18	0.273586844502658	0.166	0.023	1.12777985418301e-16	0	CRIP2
239	2.00614291929746e-18	-0.47727430969874	0.031	0.323	1.12777985418301e-16	0	STX11
240	2.33411822009193e-18	-0.492940431257268	0.045	0.345	1.30682155468806e-16	0	OGFRL1
241	2.43919983022597e-18	-0.619603702621661	0.157	0.453	1.36012547618228e-16	0	CTSH
242	2.58515424838698e-18	-0.704338140821472	0.332	0.609	1.43569876867072e-16	0	POU2F2
243	2.72496133172178e-18	0.277992562296571	0.973	0.985	1.50726475589574e-16	0	RPS15
244	2.89764686144174e-18	-0.43425030670708	0.058	0.356	1.59637160890548e-16	0	NOTCH2
245	3.22367598258381e-18	-0.537017919701471	0.471	0.695	1.76891192462657e-16	0	IQGAP1
246	3.3772109084158e-18	-0.451762406563767	0.09	0.396	1.8458065810163e-16	0	UNC93B1
247	4.00531385612883e-18	0.456269674546588	0.682	0.433	2.18044220318033e-16	0	CYLD
248	4.07749156800923e-18	-0.363015606190064	0.018	0.302	2.21099572307839e-16	0	SLC43A2
249	4.70723635673556e-18	-0.552917713027042	0.099	0.397	2.54246142514976e-16	0	NUP214
250	4.74321778828732e-18	-0.53610926381817	0.058	0.353	2.55188822648755e-16	0	CCDC88A
251	5.9141203493329e-18	-0.387877982300354	0.031	0.322	3.16946224013082e-16	0	PIK3AP1
252	6.31425238399298e-18	0.527501778429924	0.637	0.393	3.37078287150137e-16	0	ITGB1
253	7.66278082905269e-18	-0.620884195476137	0.493	0.684	4.07488341152674e-16	0	FKBP1A
254	8.58170922843058e-18	-0.486562877884768	0.018	0.295	4.52857782387641e-16	0	LRRK2
255	9.03424769042951e-18	-0.454501601108876	0.004	0.271	4.74918677252999e-16	0	BST1
256	1.41860110921786e-17	-0.599746362808114	0.009	0.279	7.40090646865815e-16	0	RGS18
257	1.48598887493779e-17	-0.371568322071339	0.004	0.271	7.72321689604459e-16	0	LILRB1
258	1.59212947172124e-17	-0.386620565808462	0.009	0.277	8.22343899786896e-16	0	C19orf38
259	1.59417571511727e-17	0.322344457016478	0.399	0.153	8.22343899786896e-16	0	PRKCA
260	1.68013047065192e-17	-0.471760044162702	0.013	0.284	8.63449140757047e-16	0	IRAK3
261	1.76227595039603e-17	-0.787127763773792	0.112	0.401	9.02298389026188e-16	0	NAMPT
262	2.00702607478377e-17	-0.387951503478458	0.022	0.301	1.02380630103692e-15	0	GRK3
263	2.31054948834386e-17	0.25698927129088	0.978	0.994	1.17428775287675e-15	0	RPLP1
264	2.34322261648882e-17	0.339357536137901	0.368	0.124	1.1865148932684e-15	0	SCML4
265	2.45740426756014e-17	-0.48891099406452	0.022	0.291	1.23977395520534e-15	0	DMXL2
266	2.53008484799525e-17	-0.404197635000639	0.009	0.276	1.27178316100141e-15	0	CD1D
267	2.76175594648049e-17	-1.10965206295751	0.247	0.502	1.3811599438874e-15	0	TYMP
268	2.76773502151255e-17	-0.362816625569586	0.004	0.265	1.3811599438874e-15	0	CD86
269	4.4002812945146e-17	-0.91163184239794	0.018	0.284	2.18747073842082e-15	0	NRGN
270	4.4152825476003e-17	-0.432175028407584	0.076	0.367	2.18747073842082e-15	0	KIAA0930
271	4.72307345466798e-17	-0.438236941275368	0.121	0.422	2.33157314305169e-15	0	SH3BP2
272	5.27711982004684e-17	-0.391886880388278	0.009	0.268	2.59577754576804e-15	0	PLXDC2
273	6.26086061807586e-17	-0.373625681902101	0.004	0.263	3.06871292856793e-15	0	CTBP2
274	6.31995090311073e-17	-0.524764002180717	0.004	0.26	3.08669091448738e-15	0	RBP7
275	6.96109042002361e-17	-0.430956785491402	0.004	0.259	3.38781266272033e-15	0	MGST1
276	8.14059900345156e-17	-0.388560529052192	0.004	0.26	3.94790387586403e-15	0	RBM47
277	8.43767862875604e-17	-0.397811389178029	0.013	0.274	4.07761921943358e-15	0	PLXNB2
278	8.55206135590155e-17	-0.433975955595012	0.13	0.438	4.1184454914277e-15	0	SERPINB6
279	9.37017133354438e-17	-0.525488030610519	0.018	0.284	4.49670277968316e-15	0	CD300E
280	9.8027912638732e-17	-0.509945277822723	0.341	0.592	4.68798069712936e-15	0	AP2S1
281	1.20218655019138e-16	-0.475324815419697	0.067	0.349	5.69761256089897e-15	0	CPPED1
282	1.20380836072141e-16	0.306878279639795	1	0.997	5.69761256089897e-15	0	MALAT1
283	1.32172958777057e-16	-0.616466254929441	0.435	0.641	6.23234209621637e-15	0	SERPINB1
284	1.32583767820475e-16	-0.394045992263676	0.013	0.273	6.23234209621637e-15	0	CIITA
285	1.36042329663577e-16	-0.421864813109607	0.022	0.285	6.37316668862738e-15	0	AC005747.1
286	1.37824144170463e-16	-0.359508438726641	0.013	0.272	6.43475233105011e-15	0	SCIMP
287	1.67994383051617e-16	-0.537063433450397	0.166	0.45	7.79052739989871e-15	0	FBXL5
288	1.8595902357687e-16	-0.327597476439219	0.013	0.271	8.59467661652427e-15	0	RASSF4
